date,text,likes,retweets,link
2019-01-25,Pronunciamento sobre a tragédia em Brumadinho/MG: https://t.co/BzNUuss5gN,1715,352,https://twitter.com/jairbolsonaro/status/1088902958392188929
2019-01-25,O Ministro do Meio Ambiente também está a caminho. Todas as providências cabíveis estão sendo tomadas.,127,10,https://twitter.com/jairbolsonaro/status/1088850620512169985
2019-01-25,Nossa maior preocupação neste momento é atender eventuais vítimas desta grave tragédia.,3316,455,https://twitter.com/jairbolsonaro/status/1088849158348386305
2019-01-25,"Lamento o ocorrido em Brumadinho-MG. Determinei o deslocamento dos Ministros do Desenvolvimento Regional e Minas e Energia, bem como nosso Secretario Nacional de Defesa Civil para a Região.",4752,802,https://twitter.com/jairbolsonaro/status/1088849051775365120
2019-01-25,🇧🇷👍🏻👉🏻👉🏻 https://t.co/986nLZeXIb,353,39,https://twitter.com/jairbolsonaro/status/1088785202246307841
2019-01-25,"Alguns passos de Adélio Bispo, ex-filiado do PSOL, o criminoso que tentou matar Jair Bolsonaro: https://t.co/xU6VeTlWW5",0,0,https://twitter.com/jairbolsonaro/status/1088742503912820736
2019-01-24,@RoYamasaki @Tarik_mohad @davidmirandario 👍🏻,453,8,https://twitter.com/jairbolsonaro/status/1088541490861744128
2019-01-24,@davidmirandario Seja feliz! 👍🏻 Um forte abraço!,407,39,https://twitter.com/jairbolsonaro/status/1088536629420138497
2019-01-24,"Fake News! Referi-me à missão concluída, reuniões produtivas com Chefes de Estado, voltando ao país que amo, Bolsa batendo novo recorde na casa dos 97.000 e confiança no nosso país sendo restabelecida, isso faz de hoje um grande dia! 👍🇧🇷 https://t.co/llfyib2RKC",3084,673,https://twitter.com/jairbolsonaro/status/1088530325142204418
2019-01-24,🛫,4662,396,https://twitter.com/jairbolsonaro/status/1088518773559226373
2019-01-24,👍,2267,242,https://twitter.com/jairbolsonaro/status/1088505053063905280
2019-01-24,👉,2107,206,https://twitter.com/jairbolsonaro/status/1088505004724576257
2019-01-24,🇧🇷,2800,304,https://twitter.com/jairbolsonaro/status/1088504949569449984
2019-01-24,Grande dia! 👍,0,0,https://twitter.com/jairbolsonaro/status/1088500925923246080
2019-01-24,@estadohir4mico Selva!,548,35,https://twitter.com/jairbolsonaro/status/1088499934511448068
2019-01-24,Retornando ao Brasil! 🇧🇷👍,5765,450,https://twitter.com/jairbolsonaro/status/1088499178823737345
2019-01-24,São cada vez mais positivas as impressões que recebemos. A confiança no futuro do Brasil vem sendo restabelecida através de compromissos sólidos e eficientes para nossa economia. Temos um claro objetivo: colocar nosso país entre os 50 melhores para se fazer negócios no mundo!,2792,414,https://twitter.com/jairbolsonaro/status/1088474678962855936
2019-01-24,E ainda dizem que o Foro nunca existiu....,2793,385,https://twitter.com/jairbolsonaro/status/1088473582248841217
2019-01-24,"Foro de SP consiste no grupo de países e grupos ideologicamente alinhados usando o dinheiro dos cidadãos para a manutenção de seus companheiros no poder em nome do chamam de Pátria Grande Bolivariana. Graças a Deus, a economia e sociedade destes comungados foram deflagrados! https://t.co/LKjTGsFcyq",907,189,https://twitter.com/jairbolsonaro/status/1088472880260804609
2019-01-24,🇧🇷👍🏻🇻🇪 https://t.co/pTV4jq090P,3414,569,https://twitter.com/jairbolsonaro/status/1088415630414487556
2019-01-24,"Desde o início, reuniões com empresários e chefes de estado. Vamos fazer nosso Brasil crescer! https://t.co/oPurHf3XML",0,0,https://twitter.com/jairbolsonaro/status/1088405278473756673
2019-01-24,"Mais compromissos internacionais no dia de hoje: conversamos com o Presidente da Polônia 🇵🇱 ANDRZEJ DUDA e o Presidente da Ucrânia 🇺🇦 PETRO POROSHENKO. Graças a estas aproximações “olho no olho”, derivações positivas entre nossos países estão por vir. EXCELENTE! https://t.co/0VjaRHNFHB",1638,278,https://twitter.com/jairbolsonaro/status/1088391794805608450
2019-01-24,"RT @RissoSimone: @odiodobem2 Divulga esse vídeo tbem....👇👇
""Extrema imprensa"" forjando uma manifestação contra JB em Davos
https://t.co/mT…",0,84,https://twitter.com/jairbolsonaro/status/1088384624445849600
2019-01-24,"Devido ao fuso, os compromissos começam mais cedo em relação ao Brasil. Hoje, já conversamos com o Premiê da Holanda, Mark Rutte e o Primeiro-Ministro da República Tcheca, Andrej Babis. Apresentamos um Brasil com uma cara diferente e extremamente positiva. Bom dia a todos! 👍🏻 https://t.co/uH5AFlRapr",1585,202,https://twitter.com/jairbolsonaro/status/1088363725185269760
2019-01-23,"RT @planalto: Em Davos, na Suíça, o presidente @JairBolsonaro destacou a necessidade de reformas, em especial da Previdência. Confira o seg…",0,388,https://twitter.com/jairbolsonaro/status/1088221613638729728
2019-01-23,"RT @recordtvoficial: Jair Bolsonaro fala sobre o Fórum Econômico Mundial no #JornalDaRecord desta quarta-feira (23), a partir das 21h40. Nã…",0,254,https://twitter.com/jairbolsonaro/status/1088218812720312321
2019-01-23,"RT @alexandregarcia: Brasileiros, conseguimos. Hoje o governo anunciou que os novos passaportes voltam como dantes. https://t.co/H99mUOW5xl",0,1062,https://twitter.com/jairbolsonaro/status/1088185943394344964
